vccint_voltage_average, vccint_current_average , vccint_power_average , vccpint_voltage_average , vccpint_current_average , vccpint_power_average , vccaux_voltage_average , vccaux_current_average , vccaux_power_average , vccpaux_voltage_average , vccpaux_current_average , vccpaux_power_average , vcc1v5_voltage_average , vcc1v5_current_average , vcc1v5_power_average  
1.001988, 0.141741, 0.142008, 1.003784, 0.320312, 0.321501, 1.803380, 0.011161, 0.020136, 1.799107, 0.072545, 0.130523, 1.506679, 0.380580, 0.573414
1.001116, 0.150670, 0.150862, 1.003122, 0.334821, 0.335848, 1.803467, 0.031250, 0.056349, 1.799334, 0.065848, 0.118487, 1.507098, 0.380580, 0.573583
1.001988, 0.146205, 0.146495, 1.003749, 0.316964, 0.318180, 1.803502, 0.024554, 0.044286, 1.800310, 0.068080, 0.122567, 1.507045, 0.375000, 0.565146
1.001971, 0.143973, 0.144275, 1.003191, 0.322545, 0.323581, 1.802612, 0.020089, 0.036192, 1.799037, 0.065848, 0.118461, 1.506906, 0.381696, 0.575174
1.001413, 0.149554, 0.149763, 1.004203, 0.331473, 0.332866, 1.803571, 0.027902, 0.050334, 1.799316, 0.070312, 0.126477, 1.507080, 0.383929, 0.578617
1.002162, 0.138393, 0.138704, 1.003278, 0.324777, 0.325837, 1.802630, 0.030134, 0.054306, 1.798636, 0.073661, 0.132500, 1.507185, 0.379464, 0.571930
1.002023, 0.160714, 0.161074, 1.003540, 0.297991, 0.299060, 1.803659, 0.016741, 0.030198, 1.798009, 0.061384, 0.110349, 1.507010, 0.386161, 0.581954
1.001901, 0.137277, 0.137534, 1.003383, 0.332589, 0.333709, 1.801932, 0.023438, 0.042184, 1.800834, 0.070312, 0.126573, 1.506069, 0.377232, 0.568136
1.002546, 0.149554, 0.149920, 1.003401, 0.325893, 0.326994, 1.803397, 0.032366, 0.058356, 1.799334, 0.069196, 0.124484, 1.506487, 0.396205, 0.596866
1.001657, 0.131696, 0.131931, 1.003714, 0.329241, 0.330491, 1.802804, 0.023438, 0.042262, 1.797991, 0.079241, 0.142495, 1.506557, 0.378348, 0.570001
1.001517, 0.148438, 0.148675, 1.003976, 0.325893, 0.327187, 1.803310, 0.022321, 0.040246, 1.800031, 0.072545, 0.130568, 1.506906, 0.371652, 0.560044
1.002441, 0.142857, 0.143202, 1.003296, 0.324777, 0.325868, 1.803868, 0.022321, 0.040258, 1.799874, 0.080357, 0.144643, 1.507324, 0.375000, 0.565251
1.000331, 0.129464, 0.129509, 1.002494, 0.308036, 0.308827, 1.804670, 0.033482, 0.060434, 1.799282, 0.063616, 0.114464, 1.507132, 0.389509, 0.587040
1.002407, 0.132812, 0.133134, 1.002895, 0.315848, 0.316779, 1.802874, 0.027902, 0.050316, 1.800502, 0.075893, 0.136657, 1.507307, 0.370536, 0.558513
1.002145, 0.138393, 0.138687, 1.002825, 0.332589, 0.333524, 1.803589, 0.020089, 0.036249, 1.798915, 0.087054, 0.156623, 1.507220, 0.388393, 0.585394
1.001779, 0.149554, 0.149835, 1.003819, 0.328125, 0.329390, 1.802508, 0.024554, 0.044268, 1.799212, 0.079241, 0.142571, 1.506539, 0.381696, 0.575027
